1	0	2	0	2	1	2	1	1	37	0	0	0	0	0	2	0	0	0	1	0	1	1	1	1.4	1	1.2	1.33333333333333	2	1.5
2	1	4	0	2	1	1	1	1	19	0	1	0	0	0	6	0	0	1	1	0	1	1	1	3	3	3	3	3	3
3	0	0	0	1	1	1	1	1	30	0	0	0	0	0	7	0	0	0	1	0	1	1	1	2.2	2	1.4	3	3	3
4	4	9	6	1	1	1	1	1	20	1	0	0	0	0	4	0	0	1	0	0	1	1	1	3	3	3	3	3	3
5	0	1	1	1	2	2	1	1	25	0	0	0	0	0	5	0	0	0	0	0	2	2	3	2.4	2.75	2.8	2.66666666666667	1.5	2.5
6	7	7	5	2	1	1	1	1	26	0	0	0	0	1	5	0	1	0	1	0	1	1	1	1.2	1	2.6	3.33333333333333	3	4.5
7	3	2	3	1	1	1	1	1	29	0	1	0	1	0	6	0	0	1	0	0	1	1	1	1.8	1	1.4	2.33333333333333	3	1
8	0	0	1	1	1	1	1	1	22	0	0	0	0	0	6	0	1	0	0	0	1	1	1	2	2	2	3.33333333333333	3.5	3
9	8	6	1	2	1	1	1	1	43	1	0	0	0	1	6	0	0	0	1	0	1	1	1.5	1.6	1.5	1.6	4	3.5	3
10	0	4	1	1	1	1	1	1	33	0	0	0	0	1	6	0	0	0	0	0	1	1	1	2.6	2.5	3	3.33333333333333	2	2
11	12	7	2	1	1	2	1	1	34	0	1	0	0	0	2	0	0	0	0	1	1	1	1	2.2	3.25	3.2	1.66666666666667	2.5	3
12	3	11	7	1	1	1	1	1	29	0	0	0	0	0	4	0	0	0	1	0	1	1.5	1.5	2.4	3.5	3	2.66666666666667	3	2.5
13	1	3	2	1	1	1	1	1	36	0	0	0	0	0	5	0	0	0	0	1	1	1	1	2.8	1	2.6	5	5	5
14	0	0	0	2	2	1	1	1	32	0	0	0	0	0	7	0	0	0	0	0	2	1.5	1.5	1	1	3	4.33333333333333	4	3.5
15	3	8	6	1	1	1	1	1	33	0	0	0	0	0	7	0	0	0	0	0	1	1.5	2.5	2.6	2.75	4.2	3	3	3
16	5	14	17	2	2	1	1	1	36	0	0	0	1	0	2	0	0	0	1	0	1	1	1	1.4	1.75	1.4	3	4	3
17	0	10	7	1	1	1	1	1	25	0	0	0	1	0	4	0	0	0	0	0	1	1	1	3	3	3	3	3	3
18	8	6	3	2	1	1	1	1	27	0	1	0	0	0	7	0	0	1	0	0	3	4	3	3.4	1.75	2	2.66666666666667	3.5	4.5
19	0	0	0	2	1	1	1	1	27	0	0	0	0	0	6	0	0	0	1	0	1	1	1	1	1	1.4	5	5	4
20	29	18	14	2	1	1	1	1	42	0	1	0	0	0	2	0	0	0	0	0	4	4	4	4	4	4	4	4	4
21	6	15	8	1	1	1	1	1	26	0	0	0	0	0	6	0	0	0	1	0	1	1	1	1	1.5	2.6	4.33333333333333	4.5	4
22	7	11	11	1	2	1	1	1	21	0	0	0	1	0	3	0	0	0	1	0	3	2.5	2.5	1.8	3.5	2.4	3.66666666666667	4	4
23	5	7	7	2	2	2	1	1	24	0	0	0	0	0	3	0	0	0	1	0	1	1	1.5	2	2.5	2.2	3	3.5	3
24	2	7	5	2	2	2	2	2	34	0	0	0	0	0	10	0	0	1	1	0	1	1	1	1	1	1	5	5	5
25	0	0	0	2	1	1	1	1	23	0	0	0	0	0	7	0	0	0	0	0	1	1	1	1	1	1	1	1	1
26	1	2	0	2	1	2	1	1	26	0	0	0	0	0	6	0	0	0	1	0	1	1	1	1.2	1	1	4.33333333333333	4.5	3
27	2	6	0	1	1	1	1	1	29	0	0	0	0	0	5	0	0	0	1	0	1	1	1	1.8	1	2.2	4.33333333333333	5	5
28	8	17	14	2	2	1	1	1	21	0	0	0	0	0	5	1	0	0	1	0	1	1	1.5	2.2	2.25	3.2	3	4	3
29	2	3	7	1	1	1	1	1	28	0	0	0	0	0	5	0	0	0	0	0	1	1	1	2	2.25	2.6	2.66666666666667	3	2.5
30	3	5	2	1	2	1	1	1	33	0	0	0	0	0	6	0	0	0	1	0	2	2.5	2.5	3.4	3.75	2.8	3	3	3
31	2	5	2	2	1	2	1	1	34	0	0	0	0	1	8	0	0	0	1	0	1	1.5	1	1.8	1.5	1.8	3.66666666666667	2.5	3
32	9	13	6	2	1	1	1	1	33	0	0	0	1	0	5	0	0	0	0	0	1	2	1.5	3	3.25	3	3	3	3
33	0	4	4	2	1	1	1	1	22	0	0	1	0	0	4	1	0	0	1	0	1	1	1	1.4	1	2	3.66666666666667	5	2.5
34	15	7	7	2	2	1	1	1	34	0	1	0	0	0	4	0	0	0	1	0	1	1.5	1	2	1.75	2.2	4.33333333333333	4	2.5
35	14	9	4	1	1	1	1	1	38	0	0	0	0	0	7	0	0	0	0	1	1	1	1	2	2.25	2.2	4	4	3
36	1	2	0	1	1	1	1	1	31	0	0	0	0	0	3	0	0	0	0	0	1	1	1	2	1	1.8	3	3	3
